Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,CAN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,5.91E+11,6.05E+11,6.29E+11,6.46E+11,6.66E+11,6.92E+11,7.21E+11,7.53E+11,7.76E+11,7.76E+11,8.04E+11,8.23E+11,8.38E+11,8.60E+11,8.82E+11,9.03E+11,9.22E+11,9.56E+11,9.81E+11,9.97E+11,9.34E+11,9.82E+11,1.03E+12
Cayman Islands,CYM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,4989714064,4837080326,4839173701,5257090045,2842613699,2913472339,2967724472,3231644278,3253582568,4875144874,5154196892,4935604275,5074368995,5348385349
Chad,TCD,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,8283488021,9297266799,15388385531,9867838429,..,11879688833,..,13005920771,13700629924,15232396755,16220786040,16775929132,18242245551,19846168843,21211232781,20468839816,19547742024,19586847442,19919823849,20198701383,20289595539,20614229067,21047127878
Channel Islands,CHI,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.05E+11,1.07E+11,1.10E+11,1.14E+11,1.24E+11,1.34E+11,1.44E+11,1.53E+11,1.58E+11,1.57E+11,1.75E+11,1.91E+11,2.03E+11,2.14E+11,2.19E+11,2.25E+11,2.32E+11,2.40E+11,2.49E+11,2.51E+11,2.33E+11,2.81E+11,2.89E+11
China,CHN,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1.60E+12,1.71E+12,1.87E+12,1.99E+12,2.15E+12,2.38E+12,2.63E+12,2.99E+12,3.25E+12,3.58E+12,3.99E+12,4.59E+12,5.02E+12,5.46E+12,5.96E+12,6.48E+12,7.06E+12,7.73E+12,8.38E+12,8.92E+12,8.69E+12,9.76E+12,9.78E+12
Colombia,COL,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,2.27E+11,2.30E+11,2.35E+11,2.42E+11,2.51E+11,2.62E+11,2.79E+11,2.97E+11,3.10E+11,3.15E+11,3.31E+11,3.49E+11,3.69E+11,3.86E+11,4.02E+11,4.15E+11,4.21E+11,4.30E+11,4.44E+11,4.62E+11,4.39E+11,5.03E+11,5.51E+11
Comoros,COM,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,1275039324,1304785070,1335118524,1363210799,1389379016,1428801264,1466620258,1467467441,1534508565,1601226572,1632335733,1708084927,1780947837,1841485196,1868635077,1881819305,1942493991,2024042591,2072858094,2151174269,2235295209,2255624700,2260236294
Congo Dem. Rep.,COD,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",NE.CON.PRVT.PP.KD,29971275218,29735178353,26781774827,33103664969,34627156585,37052816990,37093270300,39814419970,40039946483,40935410707,43759290648,41063236150,47697936308,53739258245,57917250834,61769484822,63261796388,64756956134,66008178814,69642516608,68865292357,71814010056,74008454862
